Date,Open,High,Low,Close,Volume
15-Jan-15,8551.93,8564.56,8449.15,8458.72,276394387
14-Jan-15,8491.68,8569.54,8490.93,8551.93,297994213
13-Jan-15,8436.71,8503.49,8268.50,8491.68,292832164
12-Jan-15,8445.13,8498.40,8388.98,8436.71,337010527
11-Jan-15,8284.89,8451.01,8277.20,8445.13,260558897
8-Jan-15,8133.39,8335.34,8133.39,8284.89,316143073
7-Jan-15,8057.43,8208.70,7986.06,8133.39,370713519
6-Jan-15,8106.80,8106.80,7770.17,8057.43,310952325
5-Jan-15,8356.93,8356.93,8102.65,8106.80,243970089
4-Jan-15,8409.54,8418.56,8346.56,8356.93,346992984
1-Jan-15,8333.30,8452.37,8297.71,8409.54,287862699
31-Dec-14,8486.58,8607.84,8042.23,8333.30,432285025
30-Dec-14,8855.35,8855.35,8462.82,8486.58,360370097
29-Dec-14,8856.38,8948.52,8838.35,8855.35,425878140
28-Dec-14,8749.34,8863.20,8742.84,8856.38,337155072
25-Dec-14,8699.78,8811.31,8649.65,8749.34,373919745
24-Dec-14,8546.70,8814.38,8546.70,8699.78,390404306
23-Dec-14,8546.87,8573.49,8492.60,8546.70,255411917
22-Dec-14,8525.39,8588.37,8399.73,8546.87,353757050
21-Dec-14,8320.55,8739.57,8282.23,8525.39,437692362
18-Dec-14,7638.90,8332.61,7638.90,8320.55,355839769
17-Dec-14,7330.30,7681.50,7225.83,7638.90,360006091
16-Dec-14,7904.91,7904.91,7275.05,7330.30,285846150
15-Dec-14,8119.08,8266.35,7847.95,7904.91,239961024
14-Dec-14,8393.92,8393.92,8044.65,8119.08,230523968
11-Dec-14,8410.98,8413.02,8158.05,8393.92,260653145
10-Dec-14,8625.31,8643.68,8395.02,8410.98,187682159
9-Dec-14,8785.73,8785.73,8496.14,8625.31,246261822
8-Dec-14,8941.45,8941.45,8784.48,8785.73,195928281
7-Dec-14,8957.63,8961.85,8883.41,8941.45,247730932
4-Dec-14,8801.68,8959.70,8801.68,8957.63,244161344
3-Dec-14,8742.57,8802.92,8714.99,8801.68,227879766
2-Dec-14,8720.42,8867.65,8720.42,8742.57,222183943
1-Dec-14,8624.89,8774.74,8529.50,8720.42,298929060
30-Nov-14,9055.63,9055.63,8482.50,8624.89,220974170
27-Nov-14,9081.27,9104.41,8956.17,9055.63,201167348
26-Nov-14,9234.03,9234.03,8922.32,9081.27,227901085
25-Nov-14,9404.76,9404.76,9213.06,9234.03,188772980
24-Nov-14,9515.63,9535.12,9399.10,9404.76,212141721
23-Nov-14,9408.83,9556.00,9408.83,9515.63,204512425
20-Nov-14,9383.79,9427.56,9375.20,9408.83,162738536
19-Nov-14,9374.68,9417.35,9320.25,9383.79,181806775
18-Nov-14,9289.55,9390.78,9285.29,9374.68,178188818
17-Nov-14,9553.81,9553.81,9224.18,9289.55,195954509
16-Nov-14,9681.66,9683.45,9525.46,9553.81,162531116
13-Nov-14,9766.01,9766.71,9657.68,9681.66,181672176
12-Nov-14,9768.05,9832.74,9751.39,9766.01,204252098
11-Nov-14,9793.20,9814.88,9719.78,9768.05,253666385
10-Nov-14,9688.65,9796.97,9686.29,9793.20,183148293
9-Nov-14,9649.28,9689.89,9593.91,9688.65,203179173
6-Nov-14,9628.84,9665.96,9583.12,9649.28,183112844
5-Nov-14,9784.57,9784.57,9436.38,9628.84,227178332
4-Nov-14,10141.67,10141.67,9750.72,9784.57,239956122
3-Nov-14,10099.27,10142.82,10075.68,10141.67,158882019
2-Nov-14,10034.92,10172.15,10034.92,10099.27,156664408
30-Oct-14,10081.96,10081.96,9925.37,10034.92,186497187
29-Oct-14,10163.66,10216.57,10076.05,10081.96,213220741
28-Oct-14,10194.42,10216.24,10119.59,10163.66,202667668
27-Oct-14,10313.96,10358.89,10194.28,10194.42,210253538
26-Oct-14,10165.33,10313.96,10130.29,10313.96,229551618
23-Oct-14,10206.19,10206.19,10041.15,10165.33,215297268
22-Oct-14,10136.46,10267.50,10104.22,10206.19,279105759
21-Oct-14,9882.36,10147.21,9882.36,10136.46,283702399
20-Oct-14,9775.32,9887.18,9758.33,9882.36,241072383
19-Oct-14,9547.54,9942.61,9547.54,9775.32,252404092
16-Oct-14,9903.00,9903.00,9340.62,9547.54,311180384
